dim_1,dim_2,ava_s_1,ava_s_2
0.0,0.0,2.0,0.0
0.0,11.0,0.0,257.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,4.0
13.0,2.0,67.0,22.0
0.0,3.0,4.0,10.0
0.0,0.0,0.0,0.0
0.0,0.0,4.0,1.0
6.0,0.0,84.0,0.0
0.0,0.0,1.0,9.0
0.0,0.0,0.0,0.0
9.0,0.0,69.0,3.0
3.0,0.0,24.0,0.0
0.0,0.0,0.0,6.0
0.0,1.0,6.0,7.0
0.0,2.0,1.0,14.0
0.0,9.0,0.0,115.0
1.0,0.0,5.0,1.0
0.0,0.0,0.0,0.0
0.0,6.0,2.0,97.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
7.0,0.0,104.0,0.0
0.0,0.0,0.0,2.0
2.0,2.0,15.0,22.0
0.0,0.0,0.0,0.0
1.0,0.0,8.0,1.0
0.0,0.0,2.0,0.0
0.0,9.0,3.0,168.0
0.0,0.0,0.0,3.0
0.0,0.0,2.0,0.0
0.0,0.0,3.0,1.0
0.0,0.0,3.0,0.0
0.0,0.0,0.0,2.0
4.0,0.0,35.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,5.0
0.0,0.0,2.0,0.0
0.0,0.0,2.0,2.0
2.0,0.0,8.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,9.0
0.0,0.0,0.0,0.0
2.0,0.0,16.0,2.0
0.0,0.0,0.0,0.0
6.0,3.0,89.0,6.0
0.0,2.0,0.0,12.0
0.0,0.0,4.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,14.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,1.0,5.0
0.0,0.0,0.0,0.0
0.0,2.0,4.0,8.0
4.0,1.0,41.0,14.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
2.0,2.0,4.0,19.0
0.0,0.0,0.0,0.0
0.0,2.0,5.0,13.0
1.0,0.0,6.0,3.0
0.0,0.0,6.0,0.0
2.0,0.0,12.0,3.0
0.0,0.0,1.0,0.0
0.0,14.0,0.0,68.0
0.0,0.0,2.0,0.0
0.0,0.0,4.0,2.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,3.0
0.0,0.0,0.0,0.0
6.0,17.0,69.0,260.0
0.0,0.0,5.0,0.0
0.0,0.0,0.0,2.0
9.0,0.0,119.0,0.0
0.0,6.0,2.0,12.0
0.0,0.0,3.0,0.0
0.0,0.0,0.0,2.0
3.0,0.0,20.0,0.0
0.0,4.0,7.0,18.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
2.0,1.0,14.0,8.0
0.0,0.0,0.0,0.0
1.0,0.0,6.0,2.0
2.0,0.0,22.0,0.0
0.0,1.0,0.0,4.0
0.0,1.0,1.0,3.0
0.0,2.0,0.0,15.0
0.0,0.0,2.0,0.0
7.0,0.0,56.0,1.0
0.0,0.0,0.0,0.0
4.0,0.0,31.0,1.0
8.0,0.0,67.0,0.0
0.0,4.0,2.0,11.0
0.0,0.0,0.0,3.0
0.0,0.0,2.0,0.0
0.0,1.0,1.0,6.0
